===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,Sample01,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
104,,104,2010-06-02 00:00:00,9.447856903076172,9.45714282989502,9.297499656677246,9.426786422729492,688548000.0,,Sample01,104,733925.0,Broker,104,99924.10523566247,100018.37309988977,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2010-06-03 00:00:00,9.47071361541748,9.483928680419922,9.3003568649292,9.397143363952637,650106800.0,,Sample01,105,733926.0,Broker,105,99924.10523566247,100018.076669302,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2010-06-04 00:00:00,9.22178554534912,9.353570938110352,9.093929290771484,9.14142894744873,758304400.0,,Sample01,106,733927.0,Broker,106,99924.10523566247,100015.51952513696,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,,107,2010-06-07 00:00:00,9.224642753601074,9.255356788635254,8.948213577270508,8.962142944335938,886942000.0,,Sample01,107,733930.0,Broker,107,99924.10523566247,100013.72666510583,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2010-06-08 00:00:00,9.044285774230955,9.064286231994627,8.773214340209961,8.904643058776855,1000770400.0,,Sample01,108,733931.0,Broker,108,100014.45765054703,100014.45765054703,BuySell,108,,9.200250525474546,Trades - Net Profit/Loss,108,,-2.379518079757708
109,,109,2010-06-09 00:00:00,8.981071472167969,8.996429443359375,8.660357475280762,8.685713768005371,854630000.0,,Sample01,109,733932.0,Broker,109,100014.45765054703,100014.45765054703,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,,110,2010-06-10 00:00:00,8.744285583496094,8.963570594787598,8.649999618530273,8.946785926818848,776356000.0,,Sample01,110,733933.0,Broker,110,100014.45765054703,100014.45765054703,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,,111,2010-06-11 00:00:00,8.865357398986816,9.066429138183594,8.834643363952637,9.053929328918455,545759200.0,,Sample01,111,733934.0,Broker,111,100014.45765054703,100014.45765054703,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,,112,2010-06-14 00:00:00,9.14142894744873,9.255356788635254,9.071785926818848,9.081428527832031,602960400.0,,Sample01,112,733937.0,Broker,112,99922.95194678307,100013.76623206139,BuySell,112,8.935709137916565,,Trades - Net Profit/Loss,112,,
113,,113,2010-06-15 00:00:00,9.130000114440918,9.280357360839844,9.125,9.274642944335938,585074000.0,,Sample01,113,733938.0,Broker,113,99922.95194678307,100015.69837622643,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,,114,2010-06-16 00:00:00,9.324999809265137,9.5625,9.30821418762207,9.54464340209961,783678000.0,,Sample01,114,733939.0,Broker,114,99922.95194678307,100018.39838080406,BuySell,114,,,Trades - Net Profit/Loss,114,,
